cycle,discharge_capacity_ah,charge_capacity_ah,avg_voltage_v,max_temperature_c,internal_resistance_mohm
1,2.500,2.515,3.72,29.8,42.0
2,2.497,2.512,3.72,30.1,42.2
3,2.493,2.509,3.71,30.4,42.4
4,2.489,2.504,3.71,30.7,42.8
5,2.485,2.501,3.70,31.0,43.0
6,2.478,2.494,3.70,31.4,43.5
7,2.471,2.488,3.69,31.7,44.0
8,2.462,2.480,3.69,32.1,44.5
9,2.454,2.472,3.68,32.3,45.0
10,2.445,2.464,3.68,32.6,45.6
11,2.437,2.457,3.67,33.0,46.2
12,2.428,2.449,3.67,33.4,46.9
13,2.418,2.439,3.66,33.8,47.5
14,2.409,2.431,3.66,34.0,48.1
15,2.399,2.421,3.65,34.4,48.8
16,2.388,2.411,3.65,34.7,49.5
17,2.377,2.401,3.64,35.1,50.3
18,2.364,2.389,3.64,35.5,51.0
19,2.351,2.377,3.63,35.9,51.8
20,2.338,2.365,3.63,36.2,52.6
